annotator_id,task_group,source,artifact_path,artifact_name,timestamp,timestamp_iso,notes
annotator_1,forced_choice,unknown,internlm2_7b_reward_gsm8k_annotator1.xlsx,internlm2_7b_reward_gsm8k_annotator1.xlsx,1773997403.131487,2026-03-20T17:03:23.131487,filesystem mtime audit
annotator_1,forced_choice,unknown,internlm2_7b_reward_math500_annotator1.xlsx,internlm2_7b_reward_math500_annotator1.xlsx,1773997403.131487,2026-03-20T17:03:23.131487,filesystem mtime audit
annotator_1,forced_choice,unknown,skywork_prm_gsm8k_annotator1.xlsx,skywork_prm_gsm8k_annotator1.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_1,forced_choice,unknown,skywork_prm_math500_annotator1.xlsx,skywork_prm_math500_annotator1.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_1,prod_vs_mean_fc,unknown,annotator1.xlsx,annotator1.xlsx,1774191105.7671914,2026-03-22T22:51:45.767191,filesystem mtime audit
annotator_1,prod_vs_mean_fc,unknown,skywork7b_prod_vs_mean_annotator1.xlsx,skywork7b_prod_vs_mean_annotator1.xlsx,1774191204.845688,2026-03-22T22:53:24.845688,filesystem mtime audit
annotator_1,qwen_forced_choice,unknown,qwen_prm_gsm8k_annotator_1.xlsx,qwen_prm_gsm8k_annotator_1.xlsx,1774421183.4303236,2026-03-25T14:46:23.430324,filesystem mtime audit
annotator_1,qwen_forced_choice,unknown,qwen_prm_math500_annotator_1.xlsx,qwen_prm_math500_annotator_1.xlsx,1774421183.4343233,2026-03-25T14:46:23.434323,filesystem mtime audit
annotator_2,forced_choice,unknown,internlm2_7b_reward_gsm8k_annotator2.xlsx,internlm2_7b_reward_gsm8k_annotator2.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_2,forced_choice,unknown,internlm2_7b_reward_math500_annotator2.xlsx,internlm2_7b_reward_math500_annotator2.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_2,forced_choice,unknown,skywork_prm_gsm8k_annotator2.xlsx,skywork_prm_gsm8k_annotator2.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_2,forced_choice,unknown,skywork_prm_math500_annotator2.xlsx,skywork_prm_math500_annotator2.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_2,prod_vs_mean_fc,unknown,annotator2.xlsx,annotator2.xlsx,1774191108.1631572,2026-03-22T22:51:48.163157,filesystem mtime audit
annotator_2,prod_vs_mean_fc,unknown,skywork7b_prod_vs_mean_annotator2.xlsx,skywork7b_prod_vs_mean_annotator2.xlsx,1774191204.845688,2026-03-22T22:53:24.845688,filesystem mtime audit
annotator_2,qwen_forced_choice,unknown,qwen_prm_gsm8k_annotator_2.xlsx,qwen_prm_gsm8k_annotator_2.xlsx,1774421183.4343233,2026-03-25T14:46:23.434323,filesystem mtime audit
annotator_2,qwen_forced_choice,unknown,qwen_prm_math500_annotator_2.xlsx,qwen_prm_math500_annotator_2.xlsx,1774421183.4343233,2026-03-25T14:46:23.434323,filesystem mtime audit
annotator_3,forced_choice,unknown,internlm2_7b_reward_gsm8k_annotator3.xlsx,internlm2_7b_reward_gsm8k_annotator3.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_3,forced_choice,unknown,internlm2_7b_reward_math500_annotator3.xlsx,internlm2_7b_reward_math500_annotator3.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_3,forced_choice,unknown,skywork_prm_gsm8k_annotator3.xlsx,skywork_prm_gsm8k_annotator3.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_3,forced_choice,unknown,skywork_prm_math500_annotator3.xlsx,skywork_prm_math500_annotator3.xlsx,1773997403.1354868,2026-03-20T17:03:23.135487,filesystem mtime audit
annotator_3,prod_vs_mean_fc,unknown,annotator3.xlsx,annotator3.xlsx,1774191109.163143,2026-03-22T22:51:49.163143,filesystem mtime audit
annotator_3,prod_vs_mean_fc,unknown,skywork7b_prod_vs_mean_annotator3.xlsx,skywork7b_prod_vs_mean_annotator3.xlsx,1774191204.845688,2026-03-22T22:53:24.845688,filesystem mtime audit
annotator_3,qwen_forced_choice,unknown,qwen_prm_gsm8k_annotator_3.xlsx,qwen_prm_gsm8k_annotator_3.xlsx,1774421183.4343233,2026-03-25T14:46:23.434323,filesystem mtime audit
